Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,5
design__inferred_latch__count,0
design__instance__count,236
design__instance__area,0
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_fast_1p32V_m40C,36
design__max_fanout_violation__count__corner:nom_fast_1p32V_m40C,0
design__max_cap_violation__count__corner:nom_fast_1p32V_m40C,0
power__internal__total,0
power__switching__total,0.029663754627108574
power__leakage__total,2.4276632260011866e-08
power__total,0.029663778841495514
clock__skew__worst_hold__corner:nom_fast_1p32V_m40C,0
clock__skew__worst_setup__corner:nom_fast_1p32V_m40C,0
timing__hold__ws__corner:nom_fast_1p32V_m40C,1004.1351572225727
timing__setup__ws__corner:nom_fast_1p32V_m40C,-994.704606393175
timing__hold__tns__corner:nom_fast_1p32V_m40C,0
timing__setup__tns__corner:nom_fast_1p32V_m40C,-35809.36492065957
timing__hold__wns__corner:nom_fast_1p32V_m40C,0
timing__setup__wns__corner:nom_fast_1p32V_m40C,-994.704606393175
timing__hold_vio__count__corner:nom_fast_1p32V_m40C,0
timing__hold_r2r__ws__corner:nom_fast_1p32V_m40C,inf
timing__hold_r2r_vio__count__corner:nom_fast_1p32V_m40C,0
timing__setup_vio__count__corner:nom_fast_1p32V_m40C,36
timing__setup_r2r__ws__corner:nom_fast_1p32V_m40C,inf
timing__setup_r2r_vio__count__corner:nom_fast_1p32V_m40C,0
design__max_slew_violation__count__corner:nom_slow_1p08V_125C,36
design__max_fanout_violation__count__corner:nom_slow_1p08V_125C,0
design__max_cap_violation__count__corner:nom_slow_1p08V_125C,0
clock__skew__worst_hold__corner:nom_slow_1p08V_125C,0
clock__skew__worst_setup__corner:nom_slow_1p08V_125C,0
timing__hold__ws__corner:nom_slow_1p08V_125C,1004.7008629430748
timing__setup__ws__corner:nom_slow_1p08V_125C,-995.3606931522219
timing__hold__tns__corner:nom_slow_1p08V_125C,0
timing__setup__tns__corner:nom_slow_1p08V_125C,-35832.98631772208
timing__hold__wns__corner:nom_slow_1p08V_125C,0
timing__setup__wns__corner:nom_slow_1p08V_125C,-995.3606931522219
timing__hold_vio__count__corner:nom_slow_1p08V_125C,0
timing__hold_r2r__ws__corner:nom_slow_1p08V_125C,inf
timing__hold_r2r_vio__count__corner:nom_slow_1p08V_125C,0
timing__setup_vio__count__corner:nom_slow_1p08V_125C,36
timing__setup_r2r__ws__corner:nom_slow_1p08V_125C,inf
timing__setup_r2r_vio__count__corner:nom_slow_1p08V_125C,0
design__max_slew_violation__count__corner:nom_typ_1p20V_25C,36
design__max_fanout_violation__count__corner:nom_typ_1p20V_25C,0
design__max_cap_violation__count__corner:nom_typ_1p20V_25C,0
clock__skew__worst_hold__corner:nom_typ_1p20V_25C,0
clock__skew__worst_setup__corner:nom_typ_1p20V_25C,0
timing__hold__ws__corner:nom_typ_1p20V_25C,1004.3241047522099
timing__setup__ws__corner:nom_typ_1p20V_25C,-994.9607428458058
timing__hold__tns__corner:nom_typ_1p20V_25C,0
timing__setup__tns__corner:nom_typ_1p20V_25C,-35818.58719719638
timing__hold__wns__corner:nom_typ_1p20V_25C,0
timing__setup__wns__corner:nom_typ_1p20V_25C,-994.9607428458058
timing__hold_vio__count__corner:nom_typ_1p20V_25C,0
timing__hold_r2r__ws__corner:nom_typ_1p20V_25C,inf
timing__hold_r2r_vio__count__corner:nom_typ_1p20V_25C,0
timing__setup_vio__count__corner:nom_typ_1p20V_25C,36
timing__setup_r2r__ws__corner:nom_typ_1p20V_25C,inf
timing__setup_r2r_vio__count__corner:nom_typ_1p20V_25C,0
design__max_slew_violation__count,36
design__max_fanout_violation__count,0
design__max_cap_violation__count,0
clock__skew__worst_hold,0
clock__skew__worst_setup,0
timing__hold__ws,1004.1351572225727
timing__setup__ws,-995.3606931522219
timing__hold__tns,0
timing__setup__tns,-35832.98631772208
timing__hold__wns,0
timing__setup__wns,-995.3606931522219
timing__hold_vio__count,0
timing__hold_r2r__ws,inf
timing__hold_r2r_vio__count,0
timing__setup_vio__count,108
timing__setup_r2r__ws,inf
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 2000.0 2000.0
design__core__bbox,358.08 359.1 1641.6 1640.52
design__io,40
design__die__area,4000000
design__core__area,1644730
design__instance__count__stdcell,0
design__instance__area__stdcell,0
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__count__padcells,184
design__instance__area__padcells,1108800
design__instance__count__cover,52
design__instance__area__cover,254800
design__instance__utilization,0
design__instance__utilization__stdcell,0
design__rows,339
design__rows:CoreSite,339
design__sites,906486
design__sites:CoreSite,906486
design__instance__count__class:input_output_pad,36
design__instance__area__class:input_output_pad,518400
design__instance__count__class:power_pad,16
design__instance__area__class:power_pad,230400
flow__warnings__count,8
flow__errors__count,0
flow__warnings__count:IFP-0028,1
flow__warnings__count:STA-0366,2
flow__warnings__count:STA-0419,1
flow__warnings__count:STA-0450,1
flow__warnings__type_count,4
flow__warnings__count:ORD-0039,1
design__instance__count__class:pad_spacer,132
design__instance__area__class:pad_spacer,360000
design__instance__count__class:cover,52
design__instance__area__class:cover,254800
flow__warnings__count:PAD-0033,4
design__xor_difference__count,0
magic__illegal_overlap__count,6380
